CustomerID;SalesOrderNumber;SalesAmount;OrderDate
25993;SO67693;1273.32;2020-10-03
14843;SO71573;2334.97;2020-11-26
12011;SO73178;742.35;2020-12-15
15188;SO46802;782.99;2019-01-12
20361;SO52742;69.99;2020-02-14
11498;SO55158;78.98;2020-03-28
13182;SO66862;45.95;2020-09-22
22470;SO69943;1735.98;2020-11-02
18468;SO44913;3578.27;2018-06-14
15299;SO71522;7.28;2020-11-25
22482;SO74496;39.98;2021-01-08
24363;SO74916;13.98;2021-01-22
22591;SO58539;567.76;2020-05-23
12295;SO64502;49.99;2020-08-18
16468;SO65984;63.97;2020-09-08
19277;SO52549;39.98;2020-02-10
16439;SO65361;24.99;2020-08-29
27707;SO66416;561.48;2020-09-15
16707;SO55796;799.48;2020-04-06
23583;SO60108;1251.12;2020-06-13
11884;SO52915;74.98;2020-02-17
26766;SO70675;78.98;2020-11-13
20227;SO45962;3578.27;2018-10-21
12231;SO48580;2049.0982;2019-06-15
24613;SO52158;1147.77;2020-02-03
23235;SO52258;39.98;2020-02-04
13099;SO57382;120;2020-05-03
15833;SO57419;539.99;2020-05-03
25617;SO64715;1249.84;2020-08-21
15133;SO65778;2394.97;2020-09-05
11994;SO46309;3374.99;2018-11-25
22822;SO51226;2475.95;2019-12-31
12142;SO46315;3578.27;2018-11-27
12448;SO46587;3578.27;2018-12-26
11298;SO53122;2343.96;2020-02-21
23737;SO64080;34.98;2020-08-12
11586;SO69362;8.99;2020-10-28
26281;SO73166;1263.82;2020-12-15
21067;SO50182;782.99;2019-10-27
21581;SO52351;24.27;2020-02-06
20041;SO56730;12.98;2020-04-24
17996;SO67357;1754.98;2020-09-29
15333;SO69764;848.47;2020-10-31
26673;SO49351;782.99;2019-08-17
11095;SO51683;2363.96;2020-01-27
12431;SO54797;94.98;2020-03-21
14874;SO65997;804.48;2020-09-08
27799;SO51525;1174.48;2020-01-18
16298;SO65562;2398.97;2020-09-02
19938;SO66289;4.99;2020-09-13
18228;SO67760;1709.98;2020-10-04
23376;SO45746;3578.27;2018-09-23
20125;SO58863;119.98;2020-05-29
16542;SO61816;39.98;2020-07-09
23851;SO69936;539.99;2020-11-02
15997;SO73480;2384.07;2020-12-19
16444;SO54204;828.47;2020-03-11
24465;SO59461;1174.48;2020-06-04
20773;SO72535;30.97;2020-12-07
12093;SO74918;8.99;2021-01-22
24450;SO54544;67.59;2020-03-17
18025;SO64644;37.27;2020-08-20
24156;SO67120;6.28;2020-09-26
11807;SO56167;99.47;2020-04-13
20545;SO64212;2542.31;2020-08-14
25245;SO64247;58.98;2020-08-15
20392;SO69334;133.47;2020-10-28
13091;SO69849;2443.55;2020-11-01
17655;SO71483;1750.98;2020-11-24
27193;SO49906;2049.0982;2019-09-29
16610;SO54262;32.6;2020-03-12
15499;SO65063;2439.99;2020-08-27
15652;SO46256;3578.27;2018-11-17
11046;SO70651;2439.99;2020-11-12
12071;SO46298;3578.27;2018-11-23
12892;SO62251;141.94;2020-07-16
24837;SO64389;587.92;2020-08-17
14619;SO68913;39.98;2020-10-22
26650;SO48597;2071.4196;2019-06-16
20198;SO60113;1174.48;2020-06-13
18160;SO73029;2393.06;2020-12-13
18316;SO69114;7.28;2020-10-25
15462;SO48939;2443.35;2019-07-17
11876;SO60458;7.95;2020-06-19
20448;SO61773;2466.32;2020-07-08
15916;SO72425;2460.99;2020-12-05
28661;SO44731;3578.27;2018-05-29
15126;SO53014;58.98;2020-02-20
15572;SO64280;21.98;2020-08-15
28340;SO44414;3578.27;2018-04-17
11910;SO45877;3374.99;2018-10-09
12466;SO54698;58.98;2020-03-19
16023;SO56073;96.92;2020-04-12
28867;SO60973;63.97;2020-06-27
25138;SO62457;1120.49;2020-07-19
14071;SO63349;2319.99;2020-07-31
13602;SO43954;3578.27;2018-02-05
18246;SO44640;3578.27;2018-05-12
11898;SO45691;3399.99;2018-09-14
12807;SO51967;2413.45;2020-01-30
28712;SO56124;2393.06;2020-04-12
22104;SO57628;553.97;2020-05-07
11276;SO58252;13.98;2020-05-19
14132;SO57734;1754.98;2020-05-09
11479;SO58581;553.97;2020-05-24
15853;SO60986;59.98;2020-06-27
17533;SO62942;1735.98;2020-07-27
11882;SO61972;7.95;2020-07-12
27890;SO66256;561.48;2020-09-12
25440;SO74044;57.09;2020-12-27
12160;SO46258;3578.27;2018-11-18
28595;SO55935;49.99;2020-04-09
13599;SO57283;14.98;2020-05-01
29128;SO59257;771.34;2020-06-01
13527;SO62138;2479.94;2020-07-14
16161;SO62863;650.95;2020-07-26
21183;SO64227;2475.95;2020-08-14
28084;SO65819;60.47;2020-09-06
11868;SO73277;93.49;2020-12-17
13208;SO46692;2443.35;2018-12-31
23559;SO52042;64.47;2020-01-31
19191;SO59738;74.98;2020-06-08
12074;SO68496;13.98;2020-10-16
17053;SO66269;53.99;2020-09-13
11467;SO68743;22.93;2020-10-20
11056;SO52207;2413.45;2020-02-03
13313;SO54357;76.97;2020-03-13
20473;SO75044;14.98;2021-01-26
28560;SO47477;2071.4196;2019-03-03
12315;SO51510;2419.06;2020-01-17
15697;SO57842;2461.03;2020-05-11
15636;SO59940;78.96;2020-06-11
25991;SO47781;2181.5625;2019-04-06
13716;SO48553;2443.35;2019-06-12
11953;SO52471;22.97;2020-02-09
11277;SO53023;71.58;2020-02-20
20442;SO58056;2482.23;2020-05-15
11200;SO65038;68.97;2020-08-27
27051;SO49378;2049.0982;2019-08-20
12546;SO49978;2071.4196;2019-10-06
22260;SO51355;563.77;2020-01-07
11041;SO51460;2380.47;2020-01-14
18757;SO52433;78.98;2020-02-08
23758;SO52729;1754.98;2020-02-14
15340;SO72208;41.59;2020-12-03
20228;SO46020;3578.27;2018-10-28
16828;SO48179;2443.35;2019-05-15
16055;SO56159;66.44;2020-04-13
11121;SO65022;35.23;2020-08-27
27537;SO67632;2398.05;2020-10-02
20151;SO53336;574.46;2020-02-25
17549;SO74392;39.98;2021-01-05
11018;SO43778;3399.99;2018-01-17
24163;SO49950;2181.5625;2019-10-03
14235;SO49775;2071.4196;2019-09-23
15356;SO54007;119.98;2020-03-07
11802;SO54413;48.98;2020-03-14
14711;SO55115;71.97;2020-03-27
25987;SO69078;1264.84;2020-10-24
12586;SO47117;2071.4196;2019-02-03
13284;SO55597;2374.47;2020-04-03
20995;SO56684;548.98;2020-04-23
17172;SO63782;68.49;2020-08-07
15376;SO69815;78.98;2020-11-01
25945;SO69941;548.98;2020-11-02
16412;SO56445;2478.24;2020-04-19
11351;SO44889;3374.99;2018-06-12
18341;SO74604;67.93;2021-01-12
22782;SO62623;567.76;2020-07-22
14834;SO72652;819.48;2020-12-09
23518;SO74119;4.99;2020-12-28
11504;SO57254;2.29;2020-05-01
20625;SO63869;2451.3;2020-08-08
23457;SO65895;69.97;2020-09-07
23142;SO66310;556.93;2020-09-13
17168;SO59782;4.99;2020-06-09
16934;SO67048;26.97;2020-09-25
28070;SO43986;3578.27;2018-02-11
20452;SO46300;3578.27;2018-11-23
14531;SO53269;118.96;2020-02-24
26469;SO53887;64.97;2020-03-05
17569;SO53370;64.47;2020-02-26
20001;SO56755;1155.48;2020-04-24
11530;SO60974;6.28;2020-06-27
21686;SO62417;9.99;2020-07-19
23802;SO72209;32.6;2020-12-03
13633;SO72848;2384.07;2020-12-11
12917;SO46547;3578.27;2018-12-21
20630;SO69797;74.98;2020-11-01
12632;SO57251;2475.95;2020-05-01
12368;SO71664;34.99;2020-11-27
23122;SO63063;13.98;2020-07-30
26822;SO71468;2442.03;2020-11-24
22873;SO62573;539.99;2020-07-21
26396;SO74747;118.96;2021-01-16
13974;SO48948;2071.4196;2019-07-18
13945;SO54451;56.97;2020-03-15
12372;SO55748;7.28;2020-04-06
12565;SO67816;93.46;2020-10-05
20878;SO68733;1155.48;2020-10-19
21633;SO54900;64.98;2020-03-23
25619;SO65435;1273.83;2020-08-30
25246;SO70381;27.77;2020-11-09
15194;SO46852;782.99;2019-01-18
25999;SO48686;2181.5625;2019-06-25
11091;SO52420;53.99;2020-02-08
12957;SO58053;35;2020-05-15
12544;SO73613;8.99;2020-12-21
18742;SO74558;2.29;2021-01-11
14716;SO47793;2443.35;2019-04-09
17853;SO62906;29.98;2020-07-27
28784;SO73580;43.98;2020-12-21
12112;SO46314;3578.27;2018-11-27
24675;SO53867;2419.06;2020-03-04
11938;SO53980;7.95;2020-03-07
21291;SO73490;1735.98;2020-12-19
14428;SO53132;2413.06;2020-02-21
25366;SO54520;1243.84;2020-03-16
23147;SO70772;157.27;2020-11-14
11349;SO74649;67.97;2021-01-13
15954;SO50966;782.99;2019-12-16
11632;SO61675;63.97;2020-07-07
15868;SO75122;30.97;2021-01-28
13495;SO54913;42.97;2020-03-23
16193;SO56822;85.48;2020-04-26
24579;SO73214;38.98;2020-12-16
19091;SO74257;21.98;2021-01-01
28989;SO44971;3578.27;2018-06-21
25292;SO57975;158.88;2020-05-14
25034;SO60552;1164.47;2020-06-20
17804;SO60992;73.96;2020-06-27
13833;SO71046;106.96;2020-11-18
14627;SO61132;7.28;2020-06-29
24975;SO68648;67.93;2020-10-18
24496;SO46425;3578.27;2018-12-04
24561;SO52392;3.99;2020-02-07
27746;SO53441;628.97;2020-02-27
25284;SO59260;2419.06;2020-06-01
18883;SO69694;56.97;2020-10-30
11044;SO70074;2329.99;2020-11-04
27578;SO43762;3578.27;2018-01-14
12584;SO47174;2071.4196;2019-02-10
15481;SO48915;782.99;2019-07-14
26095;SO64089;15.23;2020-08-12
13000;SO47798;2071.4196;2019-04-09
25238;SO59586;7.28;2020-06-06
11200;SO64255;27.28;2020-08-15
23900;SO64783;539.99;2020-08-22
25708;SO44986;699.0982;2018-06-23
26952;SO60162;751.34;2020-06-14
15428;SO72696;848.47;2020-12-09
11245;SO51178;2334.97;2019-12-28
17333;SO63012;8.99;2020-07-29
15801;SO71677;2332.28;2020-11-27
13540;SO43975;3578.27;2018-02-09
17186;SO61516;7.28;2020-07-04
20637;SO57868;9.99;2020-05-12
29088;SO63752;756.33;2020-08-06
17586;SO67835;1750.98;2020-10-05
25277;SO68418;96.07;2020-10-15
23990;SO70371;548.98;2020-11-08
12475;SO49607;2071.4196;2019-09-03
20574;SO56988;38.98;2020-04-29
20147;SO60485;37.97;2020-06-19
11656;SO66183;74.98;2020-09-11
19391;SO66978;42.93;2020-09-24
14326;SO68341;765.32;2020-10-13
25036;SO49555;1000.4375;2019-08-28
15792;SO50819;2071.4196;2019-12-03
12099;SO70100;8.99;2020-11-05
11787;SO70126;74.98;2020-11-05
11124;SO44595;3399.99;2018-05-05
28392;SO52254;23.78;2020-02-04
18496;SO54586;2543.44;2020-03-18
23650;SO58712;39.98;2020-05-27
21971;SO61975;32.28;2020-07-12
29218;SO65407;37.97;2020-08-30
15902;SO50392;782.99;2019-11-02
24713;SO53432;7.28;2020-02-27
28928;SO55224;2473.05;2020-03-29
12667;SO56950;2344.96;2020-04-28
23819;SO62011;1223.84;2020-07-12
11300;SO64195;21.49;2020-08-14
13319;SO47105;2181.5625;2019-02-02
11673;SO53818;137.96;2020-03-03
13939;SO54131;902.46;2020-03-09
14598;SO59384;2445.94;2020-06-03
13509;SO58166;33.98;2020-05-17
19971;SO60238;2478.34;2020-06-15
24632;SO61087;2483.03;2020-06-28
19012;SO64024;119.98;2020-08-11
26502;SO65691;27.28;2020-09-04
15237;SO68740;31.27;2020-10-20
16155;SO71074;2440.47;2020-11-18
12817;SO46301;3578.27;2018-11-24
29117;SO59345;9.99;2020-06-03
20804;SO62655;24.99;2020-07-23
12023;SO67683;2354.99;2020-10-03
17391;SO75012;4.99;2021-01-25
20206;SO46742;2049.0982;2019-01-05
13479;SO64821;75.97;2020-08-23
16678;SO65000;2419.96;2020-08-26
15752;SO50879;2071.4196;2019-12-08
14166;SO52749;71.97;2020-02-14
15226;SO68605;2319.99;2020-10-17
12403;SO71175;67.27;2020-11-20
15354;SO45617;3578.27;2018-09-03
17964;SO52467;1214.85;2020-02-08
16515;SO54587;1155.48;2020-03-18
28106;SO56234;12.94;2020-04-15
23811;SO69151;548.98;2020-10-25
14236;SO69242;1268.84;2020-10-26
26062;SO58205;49.48;2020-05-18
13658;SO60734;2344.26;2020-06-23
13720;SO66313;1155.48;2020-09-13
18019;SO71630;2309.97;2020-11-27
13760;SO74313;68.97;2021-01-03
14769;SO45623;3578.27;2018-09-04
22817;SO72968;2400.93;2020-12-13
14083;SO47535;1000.4375;2019-03-12
21963;SO57482;39.99;2020-05-05
11594;SO64420;88.98;2020-08-17
28223;SO44410;3578.27;2018-04-16
21994;SO47752;2181.5625;2019-04-01
11392;SO55212;28.99;2020-03-29
23060;SO59161;126.93;2020-05-31
22379;SO69699;27.77;2020-10-30
11039;SO43966;3399.99;2018-02-07
22999;SO63413;553.97;2020-08-01
23201;SO64135;29.99;2020-08-13
18401;SO69289;2294.99;2020-10-27
17323;SO54826;8.99;2020-03-22
13528;SO64598;2459.62;2020-08-19
12830;SO74040;2337.27;2020-12-27
22995;SO45503;3578.27;2018-08-26
27089;SO49815;2049.0982;2019-09-27
26631;SO66753;742.35;2020-09-20
20913;SO50377;782.99;2019-11-01
14124;SO56915;32.6;2020-04-28
12181;SO46416;3578.27;2018-12-03
20242;SO60102;2490.18;2020-06-13
13005;SO64245;64.97;2020-08-15
11808;SO56293;94.48;2020-04-16
20633;SO67715;68.97;2020-10-04
28066;SO71477;2419.06;2020-11-24
16258;SO73453;63.97;2020-12-19
20134;SO75055;148.98;2021-01-26
18846;SO74318;132.97;2021-01-03
14344;SO56431;63.97;2020-04-19
17762;SO57701;1754.98;2020-05-09
14270;SO57826;793.76;2020-05-11
19473;SO59267;1134.47;2020-06-01
13104;SO48530;2071.4196;2019-06-10
13521;SO48664;2071.4196;2019-06-22
28780;SO60048;7.95;2020-06-13
11106;SO60242;2384.07;2020-06-15
29238;SO66550;819.83;2020-09-17
11778;SO46000;3578.27;2018-10-27
23553;SO64981;4.99;2020-08-26
11692;SO74792;53.99;2021-01-18
13541;SO44068;3578.27;2018-02-28
15102;SO71533;36.27;2020-11-25
13292;SO47247;2181.5625;2019-02-18
16633;SO62479;71.58;2020-07-20
15256;SO70990;848.47;2020-11-17
28154;SO44211;3578.27;2018-03-18
21889;SO47525;2181.5625;2019-03-10
11113;SO52072;49.97;2020-02-01
18123;SO53799;4.99;2020-03-03
11425;SO61734;574.98;2020-07-08
16285;SO74741;76.94;2021-01-16
15648;SO50335;2071.4196;2019-10-28
29130;SO52348;7.28;2020-02-06
19969;SO59585;30.48;2020-06-06
11211;SO67652;63.97;2020-10-03
28680;SO69036;31.27;2020-10-24
11215;SO69670;2.29;2020-10-30
19703;SO52937;69.99;2020-02-18
29203;SO61589;756.33;2020-07-05
21108;SO66162;819.48;2020-09-11
24327;SO73928;548.98;2020-12-25
13559;SO44056;3578.27;2018-02-26
20418;SO46292;3578.27;2018-11-22
19499;SO52167;2492.32;2020-02-03
25375;SO74924;32.6;2021-01-22
23421;SO48826;2443.35;2019-07-03
18907;SO51473;588.96;2020-01-15
15217;SO52780;31.27;2020-02-15
19557;SO56260;1779.97;2020-04-15
25679;SO65842;39.98;2020-09-06
24301;SO68191;1700.99;2020-10-11
19587;SO56189;21.49;2020-04-14
23557;SO57984;7.28;2020-05-14
16802;SO52903;13.98;2020-02-17
11879;SO69907;99.47;2020-11-02
26169;SO71110;36.27;2020-11-19
19353;SO44422;699.0982;2018-04-18
17485;SO54738;76.96;2020-03-20
13575;SO63504;2457.33;2020-08-03
21037;SO72323;811.32;2020-12-04
14626;SO55700;32.6;2020-04-05
27065;SO61329;68.97;2020-07-01
11784;SO67655;25.48;2020-10-03
22833;SO68988;29.48;2020-10-23
21737;SO69975;60.47;2020-11-03
11309;SO74376;2.29;2021-01-05
20829;SO48656;782.99;2019-06-22
15042;SO66059;1735.98;2020-09-09
11133;SO74212;71.96;2020-12-30
29110;SO44930;3578.27;2018-06-17
27901;SO56482;2433.04;2020-04-19
29276;SO45152;3578.27;2018-07-14
18520;SO56294;78.98;2020-04-16
15852;SO66131;2439.99;2020-09-10
13944;SO57550;71.58;2020-05-06
21724;SO61988;14.98;2020-07-12
22214;SO67352;42.28;2020-09-29
14255;SO48507;1000.4375;2019-06-09
20965;SO61695;29.99;2020-07-07
18124;SO66465;56.97;2020-09-16
18535;SO75011;29.99;2021-01-25
15021;SO54718;29.99;2020-03-20
21571;SO67465;2443.35;2020-09-30
28432;SO69612;28.99;2020-10-29
22400;SO48098;2181.5625;2019-04-30
14457;SO62855;2359.46;2020-07-26
15298;SO71171;7.28;2020-11-20
11091;SO74373;34.99;2021-01-05
14739;SO45751;699.0982;2018-09-23
17507;SO63381;68.97;2020-08-01
11418;SO73297;39.98;2020-12-17
26439;SO48114;782.99;2019-05-04
24249;SO67073;574.98;2020-09-25
14895;SO68061;804.48;2020-10-09
11718;SO53958;37.29;2020-03-06
12575;SO67189;618.98;2020-09-27
25226;SO51025;1000.4375;2019-12-22
13163;SO59110;30.97;2020-05-30
11755;SO62583;7.28;2020-07-22
12894;SO67123;35;2020-09-26
27671;SO43741;3578.27;2018-01-09
25887;SO44156;3399.99;2018-03-04
18706;SO54867;2482.23;2020-03-22
23015;SO64167;563.77;2020-08-13
12851;SO71588;71.58;2020-11-26
29032;SO44908;3578.27;2018-06-14
25574;SO60933;1273.83;2020-06-26
24066;SO67978;2514.93;2020-10-08
